feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_shuttle,0.0886009,0.0769892,0.249805,TE,draft_capital,230,0.389573,0.58396
forty_missing,0.0527161,0.135391,0.697008,TE,draft_capital,230,0.389573,0.890066
bench_missing,-0.0848898,0.11131,0.445678,TE,draft_capital,230,0.389573,0.76402
vertical_missing,0.131983,0.252516,0.601201,TE,draft_capital,230,0.389573,0.813656
broad_missing,0.257379,0.208499,0.217039,TE,draft_capital,230,0.389573,0.53064
agility_missing,-0.35338,0.135621,0.00916999,TE,draft_capital,230,0.389573,0.0785999
power_conf,0.32035,0.124915,0.0103312,TE,draft_capital,230,0.389573,0.0845279
final_rec_yds_share,0.19331,0.104653,0.0647269,TE,draft_capital,230,0.389573,0.277401
final_rec_ypg,0.188811,0.125666,0.132973,TE,draft_capital,230,0.389573,0.419915
final_yds_per_target,0.0447184,0.0830537,0.590282,TE,draft_capital,230,0.389573,0.813656
final_rec_ypr,-0.09721,0.0868637,0.263094,TE,draft_capital,230,0.389573,0.599048
college_seasons,-0.136166,0.066285,0.0399515,TE,draft_capital,230,0.389573,0.194359
draft_year_c,0.274489,0.216281,0.204395,TE,draft_capital,230,0.389573,0.528171
z_height_in,0.17442,0.070363,0.0131802,EDGE,log_pick,247,0.371611,0.119249
z_weight_lb,0.205687,0.0742861,0.00562536,EDGE,log_pick,247,0.371611,0.0712545
z_forty,0.255541,0.0819298,0.00181451,EDGE,log_pick,247,0.371611,0.0265197
z_bench,0.119666,0.0727359,0.0999271,EDGE,log_pick,247,0.371611,0.387473
z_vertical,0.0356512,0.0814878,0.661746,EDGE,log_pick,247,0.371611,0.900225
z_broad,0.0433747,0.0946597,0.646797,EDGE,log_pick,247,0.371611,0.897293
z_cone,0.0907033,0.100345,0.36604,EDGE,log_pick,247,0.371611,0.667884
z_shuttle,0.0766443,0.0765997,0.317029,EDGE,log_pick,247,0.371611,0.620984
forty_missing,-0.0157962,0.176749,0.928787,EDGE,log_pick,247,0.371611,0.974155
bench_missing,-0.0111101,0.143447,0.938265,EDGE,log_pick,247,0.371611,0.974155
vertical_missing,0.320223,0.265383,0.227569,EDGE,log_pick,247,0.371611,0.564461
