feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
power_conf,0.243964,0.158083,0.122766,WR,drafted,1247,0.162352,0.300864
fbs,0.848751,0.278276,0.00228814,WR,drafted,1247,0.162352,0.0189589
draft_year_c,-0.357468,0.109495,0.00109577,WR,drafted,1247,0.162352,0.010035
z_height_in,-0.0194817,0.0345462,0.572799,WR,draft_capital,1247,0.213569,0.706859
z_weight_lb,0.15496,0.0382969,5.20379e-05,WR,draft_capital,1247,0.213569,0.00045273
z_forty,0.33144,0.0259456,2.27817e-37,WR,draft_capital,1247,0.213569,3.96401e-35
z_bench,0.0165272,0.0247821,0.504834,WR,draft_capital,1247,0.213569,0.64199
z_vertical,0.00242466,0.029697,0.934928,WR,draft_capital,1247,0.213569,0.954455
z_broad,0.0629313,0.0317505,0.047473,WR,draft_capital,1247,0.213569,0.114726
z_cone,0.040852,0.0251097,0.10375,WR,draft_capital,1247,0.213569,0.212383
z_shuttle,0.0358836,0.0274664,0.191399,WR,draft_capital,1247,0.213569,0.329736
forty_missing,0.112798,0.151855,0.457603,WR,draft_capital,1247,0.213569,0.622055
bench_missing,0.09507,0.0557528,0.0881561,WR,draft_capital,1247,0.213569,0.190779
vertical_missing,0.143237,0.122741,0.243216,WR,draft_capital,1247,0.213569,0.39551
broad_missing,0.0597974,0.114658,0.601998,WR,draft_capital,1247,0.213569,0.71745
agility_missing,0.152915,0.0601354,0.0109955,WR,draft_capital,1247,0.213569,0.0407067
power_conf,0.191772,0.0514637,0.000194268,WR,draft_capital,1247,0.213569,0.00135211
fbs,0.285806,0.0765019,0.000187022,WR,draft_capital,1247,0.213569,0.00135211
draft_year_c,-0.136739,0.0420164,0.00113625,WR,draft_capital,1247,0.213569,0.00659024
z_height_in,0.0629313,0.0388312,0.105096,TE,log_pick,327,0.282997,0.2271
z_weight_lb,0.123216,0.0452457,0.0064639,TE,log_pick,327,0.282997,0.0291664
z_forty,0.217976,0.0522637,3.03681e-05,TE,log_pick,327,0.282997,0.000234087
z_bench,0.0674633,0.0387822,0.0819396,TE,log_pick,327,0.282997,0.195441
z_vertical,-0.0195678,0.0578835,0.735321,TE,log_pick,327,0.282997,0.848691
z_broad,0.150352,0.0595223,0.0115376,TE,log_pick,327,0.282997,0.0485104
z_cone,0.0378606,0.0370487,0.306822,TE,log_pick,327,0.282997,0.446945
z_shuttle,0.0200697,0.0443696,0.651031,TE,log_pick,327,0.282997,0.772056
forty_missing,0.34856,0.156205,0.0256531,TE,log_pick,327,0.282997,0.0895161
bench_missing,0.184402,0.0939162,0.0495913,TE,log_pick,327,0.282997,0.142629
vertical_missing,0.409512,0.20428,0.0449988,TE,log_pick,327,0.282997,0.132139
broad_missing,-0.22462,0.200811,0.263325,TE,log_pick,327,0.282997,0.416368
agility_missing,-0.130358,0.119521,0.275419,TE,log_pick,327,0.282997,0.424604
age_at_draft,-0.180437,0.0431808,2.93242e-05,TE,log_pick,327,0.282997,0.000234087
power_conf,0.146416,0.0954983,0.125232,TE,log_pick,327,0.282997,0.250072
fbs,0.0545828,0.168912,0.746587,TE,log_pick,327,0.282997,0.852584
draft_year_c,-0.181915,0.0591226,0.00209161,TE,log_pick,327,0.282997,0.0101828
z_height_in,0.199559,0.120326,0.0972191,TE,drafted,512,0.154068,0.253586
z_weight_lb,0.286677,0.173074,0.0976453,TE,drafted,512,0.154068,0.253586
z_forty,0.92467,0.164204,1.78942e-08,TE,drafted,512,0.154068,3.42915e-07
z_bench,0.14672,0.121224,0.226157,TE,drafted,512,0.154068,0.416299
z_vertical,0.149851,0.162127,0.355338,TE,drafted,512,0.154068,0.542358
z_broad,-0.0250992,0.176238,0.886751,TE,drafted,512,0.154068,0.946593
z_cone,-0.0210338,0.135755,0.876869,TE,drafted,512,0.154068,0.941822
z_shuttle,0.177482,0.130928,0.175235,TE,drafted,512,0.154068,0.36736
forty_missing,-0.0215153,0.389968,0.956002,TE,drafted,512,0.154068,0.984286
bench_missing,-0.213741,0.259801,0.410674,TE,drafted,512,0.154068,0.575452
vertical_missing,-1.05727,0.725931,0.145274,TE,drafted,512,0.154068,0.318162
broad_missing,1.3171,0.692271,0.0570951,TE,drafted,512,0.154068,0.194795
agility_missing,-0.417068,0.318788,0.190773,TE,drafted,512,0.154068,0.387938
power_conf,0.56083,0.26151,0.0319865,TE,drafted,512,0.154068,0.128216
fbs,0.817299,0.458998,0.0749752,TE,drafted,512,0.154068,0.228872
draft_year_c,-0.263194,0.179235,0.141988,TE,drafted,512,0.154068,0.318162
z_height_in,0.0767752,0.0334312,0.0216465,TE,draft_capital,512,0.247807,0.0644681
z_weight_lb,0.0992241,0.0489763,0.0427688,TE,draft_capital,512,0.247807,0.104814
z_forty,0.29106,0.0451875,1.18557e-10,TE,draft_capital,512,0.247807,2.29211e-09
z_bench,0.0756878,0.032345,0.019283,TE,draft_capital,512,0.247807,0.059915
z_vertical,-0.00608803,0.0492177,0.901556,TE,draft_capital,512,0.247807,0.941119
z_broad,0.11405,0.0529327,0.0311914,TE,draft_capital,512,0.247807,0.0834971
z_cone,0.0248054,0.0348299,0.476349,TE,draft_capital,512,0.247807,0.634921
z_shuttle,0.00289871,0.0372658,0.937999,TE,draft_capital,512,0.247807,0.954455
forty_missing,0.122533,0.132459,0.354933,TE,draft_capital,512,0.247807,0.505809
bench_missing,0.0594674,0.0829135,0.473237,TE,draft_capital,512,0.247807,0.634921
vertical_missing,0.191245,0.191775,0.318649,TE,draft_capital,512,0.247807,0.486359
broad_missing,-0.0268933,0.189176,0.886954,TE,draft_capital,512,0.247807,0.941119
agility_missing,-0.14573,0.0985756,0.139312,TE,draft_capital,512,0.247807,0.257876
power_conf,0.193511,0.075653,0.0105312,TE,draft_capital,512,0.247807,0.0398354
fbs,0.254729,0.121172,0.0355353,TE,draft_capital,512,0.247807,0.092445
draft_year_c,-0.163947,0.0557156,0.00325507,TE,draft_capital,512,0.247807,0.0157328
z_height_in,0.0105638,0.0535296,0.843557,OT,log_pick,421,0.260988,0.886694
z_weight_lb,0.243888,0.0722406,0.000735333,OT,log_pick,421,0.260988,0.00425114
z_forty,0.328001,0.0715828,4.6029e-06,OT,log_pick,421,0.260988,4.25768e-05
z_bench,0.051536,0.0665035,0.438377,OT,log_pick,421,0.260988,0.605223
z_vertical,0.00792257,0.0591221,0.8934,OT,log_pick,421,0.260988,0.918216
z_broad,0.119588,0.0706057,0.0903141,OT,log_pick,421,0.260988,0.206273
z_cone,0.0863732,0.0789772,0.27411,OT,log_pick,421,0.260988,0.424604
z_shuttle,0.018316,0.0729058,0.801637,OT,log_pick,421,0.260988,0.873937
forty_missing,-0.0970019,0.247692,0.695337,OT,log_pick,421,0.260988,0.814161
bench_missing,-0.0265426,0.133259,0.842121,OT,log_pick,421,0.260988,0.886694
vertical_missing,0.073195,0.356183,0.837183,OT,log_pick,421,0.260988,0.886694
broad_missing,0.00358215,0.383848,0.992554,OT,log_pick,421,0.260988,0.997948
agility_missing,0.0725543,0.153821,0.637155,OT,log_pick,421,0.260988,0.770798
age_at_draft,-0.356854,0.0505085,1.60352e-12,OT,log_pick,421,0.260988,7.41627e-11
power_conf,0.172299,0.13842,0.21322,OT,log_pick,421,0.260988,0.365239
fbs,0.260622,0.179156,0.145746,OT,log_pick,421,0.260988,0.283822
