feature,coef_early,std_err_early,p_value_early,coef_late,std_err_late,p_value_late,diff,p_value_diff,pos_group,n_early,n_late,q_value_diff
z_forty,0.212538,0.0605073,0.00044375,0.257437,0.0694278,0.000208914,0.0448996,0.625877,LB,251,259,0.952157
z_bench,-0.0411814,0.0459538,0.370174,-0.0129649,0.0402458,0.747344,0.0282165,0.644142,LB,251,259,0.952157
z_vertical,0.0665022,0.0740431,0.369102,0.0164474,0.0679495,0.808738,-0.0500548,0.61843,LB,251,259,0.952157
z_broad,0.0348235,0.0867445,0.68809,0.0725754,0.0852635,0.394664,0.0377519,0.756275,LB,251,259,0.962301
z_cone,0.00353471,0.0487113,0.942153,0.102304,0.0574272,0.0748385,0.0987692,0.189653,LB,251,259,0.952157
z_shuttle,0.0266493,0.0531473,0.616073,-0.0617348,0.0575111,0.283074,-0.0883841,0.259037,LB,251,259,0.952157
bench_missing,0.110174,0.143064,0.441237,0.146295,0.108603,0.177961,0.0361206,0.840621,LB,251,259,0.966466
vertical_missing,0.146375,0.209842,0.48546,-0.0776008,0.186453,0.677268,-0.223976,0.424936,LB,251,259,0.952157
broad_missing,-0.0177667,0.184095,0.923117,0.424053,0.196486,0.0309139,0.44182,0.100818,LB,251,259,0.887735
agility_missing,0.00315479,0.119297,0.978903,-0.175403,0.114479,0.125479,-0.178557,0.280169,LB,251,259,0.952157
age_at_draft,-0.14528,0.0542593,0.00741709,-0.240521,0.0466643,2.54622e-07,-0.0952404,0.183251,LB,251,259,0.952157
power_conf,0.239767,0.110042,0.0293413,0.117805,0.137679,0.392192,-0.121962,0.488951,LB,251,259,0.952157
fbs,0.0252696,0.203998,0.901417,0.00643944,0.541957,0.99052,-0.0188301,0.974059,LB,251,259,0.984255
draft_year_c,-0.279472,0.133857,0.0368122,-0.347003,0.1773,0.0503299,-0.0675311,0.761142,LB,251,259,0.962301
z_height_in,0.092698,0.058634,0.113887,0.124562,0.0560571,0.0262801,0.0318635,0.694468,CB,289,342,0.952157
z_weight_lb,0.164209,0.0555535,0.0031178,-0.0436199,0.0590891,0.460389,-0.207829,0.0103912,CB,289,342,0.30654
z_forty,0.245352,0.0469853,1.771e-07,0.164859,0.0488644,0.000741373,-0.0804933,0.235066,CB,289,342,0.952157
z_bench,0.0737263,0.0354688,0.0376518,0.0252919,0.0480497,0.598632,-0.0484344,0.417373,CB,289,342,0.952157
z_vertical,-0.0139869,0.0560274,0.802863,0.034865,0.0516065,0.4993,0.0488519,0.521309,CB,289,342,0.952157
z_broad,0.0986663,0.0622395,0.112905,0.173493,0.0581022,0.00282656,0.0748265,0.379501,CB,289,342,0.952157
z_cone,0.0571949,0.0553181,0.30117,0.013457,0.0467798,0.773602,-0.0437379,0.546023,CB,289,342,0.952157
z_shuttle,0.0589602,0.0579105,0.308618,0.0089011,0.0487207,0.855036,-0.0500591,0.508314,CB,289,342,0.952157
bench_missing,-0.0230671,0.132288,0.861575,0.0467139,0.111892,0.67632,0.069781,0.687135,CB,289,342,0.952157
vertical_missing,0.348526,0.29517,0.237698,0.319697,0.156819,0.0414865,-0.028829,0.931266,CB,289,342,0.977494
broad_missing,-0.161211,0.300144,0.591191,-0.245911,0.135927,0.0704291,-0.0847002,0.797128,CB,289,342,0.966381
agility_missing,0.033578,0.113637,0.767624,0.15449,0.116319,0.184126,0.120912,0.45715,CB,289,342,0.952157
age_at_draft,-0.121261,0.0530284,0.0222127,-0.269606,0.0447162,1.64704e-09,-0.148346,0.0324672,CB,289,342,0.718337
power_conf,0.351559,0.112012,0.00169766,0.125105,0.135227,0.354889,-0.226454,0.197173,CB,289,342,0.952157
fbs,0.0374545,0.156158,0.810446,0.293502,0.159292,0.0653955,0.256048,0.251031,CB,289,342,0.952157
draft_year_c,-0.419529,0.139918,0.00271416,-0.504124,0.146351,0.000571877,-0.084595,0.676089,CB,289,342,0.952157
z_height_in,-0.0337457,0.058505,0.564074,-0.0453412,0.0522188,0.385234,-0.0115956,0.882449,S,208,249,0.966466
z_weight_lb,0.0677059,0.0791812,0.392509,0.0512757,0.0501789,0.306848,-0.0164302,0.860867,S,208,249,0.966466
z_forty,0.297415,0.0634797,2.79694e-06,0.188137,0.0486497,0.0001101,-0.109277,0.171831,S,208,249,0.952157
z_bench,-0.00366493,0.0655812,0.955434,-0.0997961,0.0490411,0.0418558,-0.0961312,0.24043,S,208,249,0.952157
z_vertical,-0.00890067,0.0745744,0.904996,0.0941216,0.0677953,0.165039,0.103022,0.306685,S,208,249,0.952157
z_broad,-0.00640146,0.0687927,0.92586,0.0747171,0.0637626,0.241277,0.0811185,0.387138,S,208,249,0.952157
z_cone,0.15179,0.0594352,0.0106531,0.00884,0.06201,0.886639,-0.14295,0.0960599,S,208,249,0.887735
z_shuttle,0.0419527,0.0599464,0.484029,0.0212806,0.0643473,0.74086,-0.0206721,0.814162,S,208,249,0.966466
forty_missing,-1.22864,3.34181,0.713128,-0.00798844,0.116129,0.945157,1.22065,0.715076,S,208,249,0.952157
bench_missing,0.339914,0.196704,0.0839792,0.105488,0.103983,0.310357,-0.234426,0.292059,S,208,249,0.952157
vertical_missing,-0.0688341,0.268051,0.797338,-0.121577,0.262786,0.643618,-0.0527429,0.88826,S,208,249,0.966466
broad_missing,-0.0134971,0.244095,0.955904,0.277877,0.263551,0.291719,0.291374,0.417296,S,208,249,0.952157
agility_missing,0.228089,0.159042,0.151532,-0.000203805,0.128392,0.998733,-0.228292,0.264038,S,208,249,0.952157
age_at_draft,-0.169966,0.0615999,0.00579451,-0.241408,0.0503213,1.60789e-06,-0.0714427,0.369086,S,208,249,0.952157
power_conf,0.0339007,0.125891,0.78771,0.105702,0.155651,0.497077,0.0718014,0.719844,S,208,249,0.952157
fbs,0.641446,0.21768,0.0032114,-0.231446,0.261312,0.375775,-0.872892,0.010271,S,208,249,0.30654
draft_year_c,-0.104361,0.194556,0.591677,-0.297497,0.142165,0.0363834,-0.193136,0.42283,S,208,249,0.952157
