pos_group,target,group,n,full_r2,delta_r2,partial_r2,f_stat,p_value,q_value
CB,draft_capital,size,394,0.202439,0.0121905,0.0150547,2.85825,0.0586229,0.126458
CB,draft_capital,speed,394,0.202439,0.0597736,0.0697202,28.0296,2.04187e-07,2.56936e-06
CB,draft_capital,strength,394,0.202439,0.000899835,0.00112696,0.421959,0.51636,0.633905
CB,draft_capital,explosion,394,0.202439,0.0284811,0.034479,6.67781,0.00141399,0.00593088
CB,draft_capital,agility,394,0.202439,0.00217954,0.00272531,0.511025,0.600299,0.725161
CB,draft_capital,skipped_drills,394,0.202439,0.0161344,0.0198286,1.51318,0.184727,0.29056
CB,draft_capital,school_tier,394,0.202439,0.011175,0.0138179,5.24029,0.0226262,0.06101
CB,draft_capital,production,394,0.202439,0.0223811,0.0272959,2.62379,0.0345171,0.084066
S,log_pick,size,204,0.255917,0.000409728,0.000550346,0.0501091,0.951139,0.965848
S,log_pick,speed,204,0.255917,0.0669058,0.0824991,16.3649,7.71114e-05,0.000415851
S,log_pick,strength,204,0.255917,0.00520135,0.00694176,1.27223,0.260833,0.375103
S,log_pick,explosion,204,0.255917,0.0192758,0.0252513,2.3574,0.0975512,0.179637
S,log_pick,agility,204,0.255917,0.00121917,0.00163581,0.149103,0.861586,0.901847
S,log_pick,skipped_drills,204,0.255917,0.0241641,0.0314536,1.18209,0.31966,0.434853
S,log_pick,age,204,0.255917,0.0626984,0.0777143,15.3358,0.00012714,0.000662005
S,log_pick,school_tier,204,0.255917,0.0144717,0.019078,3.53973,0.0615118,0.129004
S,log_pick,production,204,0.255917,0.0094534,0.0125454,0.462454,0.803832,0.860841
S,draft_capital,size,316,0.225811,0.0148187,0.0187814,2.82329,0.0610168,0.129004
S,draft_capital,speed,316,0.225811,0.0823753,0.0961694,31.3886,4.84373e-08,8.1267e-07
S,draft_capital,strength,316,0.225811,5.51115e-05,7.1181e-05,0.0209999,0.884878,0.915182
S,draft_capital,explosion,316,0.225811,0.00911334,0.0116345,1.73629,0.177968,0.285885
S,draft_capital,agility,316,0.225811,5.40541e-05,6.98154e-05,0.0102985,0.989755,0.989755
S,draft_capital,skipped_drills,316,0.225811,0.0139221,0.0176652,1.06099,0.382161,0.497469
S,draft_capital,school_tier,316,0.225811,0.0112759,0.0143557,4.29661,0.0390566,0.0936118
S,draft_capital,production,316,0.225811,0.0205818,0.0258965,1.56851,0.168824,0.280101
